Date,disaster_type,Incident_Count,Location,Severity_Index
26/6/2021,FLOOD,1,CANAAN,1
24/3/2021,DOMESTIC FIRE,1,WASSA DAMAN,1
2021-04-08 00:00:00,FLOOD,1,WASSA AKROPONG,1
2021-07-08 00:00:00,FLOOD,1,WASSA AFRANSIE,1
2021-01-09 00:00:00,DOMESTIC FIRE,1,WASSA AKROPONG,1
30/11/2021,RAINSTORM,1,WASSA SUHYENSU,1
2021-05-12 00:00:00,DOMESTIC FIRE,1,WASSA AKROPONG,1
15/12/2021,MAN MADE,1,WASSA AKROPONG,1
25/2/2021,FLOOD,1,CINDY'S COTTAGE HOUSING AREA,1
2021-04-10 00:00:00,DOMESTIC FIRE,1,ZONGO,1
2021-04-05 00:00:00,DOMESTIC FIRE,1,ZONGO,1
2021-04-07 00:00:00,DOMESTIC FIRE,1,NEWSITE,1
2021-01-07 00:00:00,RAINSTORM,1,BANKYEASE,1
17/7/2021,RAINSTORM,1,ANAJI,1
2021-06-09 00:00:00,DOMESTIC FIRE,1,NEWSITE F-COMPOUND,1
26/02/2024,DOMESTIC FIRE,1,ANTO,1
17/04/2024,DOMESTIC FIRE,1,SHAMA JUNCTION,1
25/05/2024,BUILDING COLLAPSE,1,SHAMA ,1
19/06/2024,BUILDING COLLAPSE,1,FAWOMANYE,1
19/11/2024,DOMESTIC FIRE,1,ITUMA,1
17/04/2024,RAINSTORM,1,MENZEZOR,1
25/04/2024,DOMESTIC FIRE,1,BASAKE,1
2024-11-05 00:00:00,DOMESTIC FIRE,1,AKROPONG,1
22/05/2024,RAINSTORM,2,"ANKOBRA,EIKWE",1
22/05/2024,WINDSTORM,1,KWASIKROM,1
19/06/2024,DOMESTIC FIRE,1,KWAMENAKROM,1
13/01/2024,DOMESTIC FIRE,1,DOMPIM,1
2024-10-05 00:00:00,DOMESTIC FIRE,1,NYAME NNAE,1
16/5/2024,DOMESTIC FIRE,1,ASANKRANGWA,1
18/6/2024,DOMESTIC FIRE,1,BREMAN,1
17/2/2024,DOMESTIC FIRE,1,AZULETI,1
2024-07-03 00:00:00,RAINSTORM,1,"HALF ASSINI , ADUSUAZO",1
21/3/2024,DOMESTIC FIRE,1,HALF ASSINI ,1
2024-05-05 00:00:00,DOMESTIC FIRE,1,METIKA,1
2024-12-06 00:00:00,TIDAL WAVES,1,MPEASEM,1
25/6/2024,FLOOD,1,"NEW EDOBO,OLD EDOBO,HALF ASSINI,BENYIN",1
27/6/2024,FLOOD,1,TAKINTA,1
2024-10-06 00:00:00,TIDAL WAVES,1,BONYERE,1
2024-04-06 00:00:00,TIDAL WAVES,1,EZINLINBO,1
30/08/24,domestic fire,1,half assini,1
24/01/2024,EPIDEMICS (AVIAN FLU),1,ESHIEM,1
2024-02-02 00:00:00,EPIDEMICS (AVIAN FLU),1,NTAMAKROM,1
29/01/2024,DOMESTIC FIRE,1,YENSUADO(NAVAL QTRS),1
2024-03-04 00:00:00,COMMERCIAL FIRE,1,NGIRESIA,1
22/04/2024,DOMESTIC FIRE,1,TAKORADI AMANFUL,1
2024-03-07 00:00:00,flooding,1,essipong,1
2024-04-07 00:00:00,flooding,1,ketan,1
2024-04-07 00:00:00,flooding,1,bakodo,1
13/09/2024,road accident,1,kansawordo,1
20/11/2024,DOMESTIC FIRE,1,MPINTSIN,1
30/12/2024,DOMESTIC FIRE,1,YENSUADO,1
2024-05-12 00:00:00,DOMESTIC FIRE,1,BAKAKYIRE,1
2024-06-05 00:00:00,RAINSTORM,1,"EDELESUAZO,ANAGYE,EWUKU,EGUAFO,AGONA",1
23/01/2022,COMMERCIAL FIRE,1,DIXCOVE,1
